m1_surv,m2_surv
0.64393,0.92172
0.64393,0.92172
0.64393,0.92172
0.64287,0.92172
0.64287,0.92142
0.64228,0.92142
0.64228,0.92142
0.64145,0.92142
0.64145,0.92142
0.64145,0.92142
0.64145,0.92113
0.63942,0.92113
0.63901,0.92084
0.63901,0.92084
0.63839,0.92084
0.63716,0.92084
0.6364,0.92084
0.6364,0.92025
0.63594,0.92025
0.63594,0.92025
0.63549,0.91995
0.63549,0.91995
0.63483,0.91965
0.62436,0.91965
0.62394,0.91965
0.62394,0.91965
0.62394,0.91965
0.62394,0.91965
0.62394,0.91965
0.62337,0.91936
0.62337,0.91876
0.62231,0.91876
0.62156,0.91876
0.62156,0.91876
0.62156,0.91876
0.62156,0.91876
0.62156,0.91846
0.61665,0.91846
0.61599,0.91846
0.61479,0.91846
0.6143,0.91846
0.61357,0.91846
0.61357,0.91816
0.61357,0.91816
0.61305,0.91816
0.61243,0.91786
0.61243,0.91755
0.61243,0.91755
0.61194,0.91755
0.61194,0.91755
0.61194,0.91755
0.6114,0.91755
0.6114,0.91755
0.61097,0.91755
0.60934,0.91755
0.60727,0.91755
0.60727,0.91755
0.60607,0.91755
0.60607,0.91755
0.60547,0.91755
0.605,0.91755
0.60425,0.91755
0.60425,0.91755
0.60425,0.91755
0.60325,0.91725
0.60325,0.91694
0.60325,0.91694
0.60325,0.91694
0.60267,0.91694
0.60212,0.91694
0.59945,0.91694
0.59862,0.91664
0.59771,0.91664
0.59771,0.91664
0.59771,0.91664
0.59771,0.91664
0.59771,0.91633
0.59512,0.91633
0.59275,0.91602
0.59275,0.91602
0.59275,0.91602
0.59275,0.91602
0.59243,0.91602
0.59037,0.91572
0.59037,0.91572
0.58939,0.91572
0.58939,0.91572
0.58939,0.91541
0.58939,0.91541
0.58939,0.91541
0.58799,0.91541
0.58799,0.91541
0.58768,0.91541
0.58735,0.91541
0.58689,0.9151
0.58646,0.9151
0.58559,0.9151
0.58436,0.91479
0.58436,0.91479
0.58128,0.91479
0.58067,0.91479
0.57983,0.91479
0.57983,0.91479
0.57983,0.91479
0.57983,0.91448
0.57904,0.91448
0.57755,0.91448
0.57755,0.91448
0.57668,0.91448
0.57668,0.91448
0.57668,0.91448
0.57668,0.91448
0.57668,0.91448
0.57668,0.91448
0.57668,0.91448
0.57541,0.91417
0.57509,0.91417
